п/п	Номер заказа	"Дата
приема груза"	Служба	Счет	Город доставки	Срочность	Вид груза	Кол-во мест	"Вес
расчетный 
(кг.)"	Дата доставки	"Стоимость услуги без учета НДС,
руб."	Сумма НДС, руб.	"Стоимость услугс с учетом НДС,
руб."
1	496-041251251	03.10.2023	Служба клиентского сервиса	44	Москва г	Срочная	Документы	1	0,1	04.10.2023 15:11	1 762,90	352,58	2 115,48
2	496-041251470	03.10.2023	Служба клиентского сервиса	44	Санкт-Петербург г	Срочная	Документы	1	0,11	05.10.2023 11:28	2 005,68	401,14	2 406,82
3	496-041251775	03.10.2023	Служба клиентского сервиса	44	Вологда г	Срочная	Документы	1	0,12	05.10.2023 10:45	2 105,72	421,14	2 526,86
4	496-041252419	03.10.2023	Служба клиентского сервиса	44	Кострома г	Срочная	Документы	1	0,08	05.10.2023 11:07	2 105,72	421,14	2 526,86
5	496-041252664	03.10.2023	Служба клиентского сервиса	44	Москва г	Срочная	Документы	1	0,1	04.10.2023 13:00	1 762,90	352,58	2 115,48
6	496-041252941	03.10.2023	Служба клиентского сервиса	44	Новосибирск г	Срочная	Документы	1	0,11	09.10.2023 13:12	2 538,82	507,76	3 046,58
7	496-041274729	03.10.2023	Служба клиентского сервиса	44	Балакирево п	Срочная	Документы	1	0,06	09.10.2023 12:03	2 442,44	488,49	2 930,93
8	496-041275001	03.10.2023	Служба клиентского сервиса	44	Москва г	Срочная	Документы	1	0,1	06.10.2023 10:46	1 762,90	352,58	2 115,48
9	496-041269047	05.10.2023	Склад	44	Санкт-Петербург г	Срочная	Груз	1	1,571	09.10.2023 10:52	2 840,16	568,03	3 408,19
10	496-041333752	05.10.2023	Управление производством	25	Санкт-Петербург г	Срочная	Груз	1	3,6	09.10.2023 14:52	3 491,64	698,33	4 189,97
11	496-041335390	05.10.2023	Служба клиентского сервиса	44	Малые Колпаны д	Срочная	Документы	1	0,07	09.10.2023 14:57	2 342,40	468,48	2 810,88
12	496-041279237	05.10.2023	Управление производством	25	Изоплит пгт	Срочная	Груз	1	5,42	10.10.2023 14:59	4 143,12	828,62	4 971,74
13	496-041400966	10.10.2023	Служба клиентского сервиса	44	Малые Колпаны д	Срочная	Документы	1	0,07	16.10.2023 13:02	2 342,40	468,48	2 810,88
14	496-041452750	10.10.2023	Служба клиентского сервиса	44	Петрозаводск г	Срочная	Документы	1	0,09	13.10.2023 13:51	2 188,68	437,74	2 626,42
15	496-041445682	12.10.2023	Служба клиентского сервиса	44	Санкт-Петербург г	Срочная	Документы	1	0,06	16.10.2023 12:29	2 005,68	401,14	2 406,82
16	496-041445873	12.10.2023	Служба клиентского сервиса	44	Вологда г	Срочная	Документы	1	0,06	16.10.2023 14:29	2 105,72	421,14	2 526,86
17	496-041446161	12.10.2023	Служба клиентского сервиса	44	Владивосток г	Срочная	Документы	1	0,1	17.10.2023 12:40	2 768,18	553,64	3 321,82
